Element_Name,Abbreviation,Category,Sequence/Level,BASE,GOE_-5,GOE_-4,GOE_-3,GOE_-2,GOE_-1,GOE_+1,GOE_+2,GOE_+3,GOE_+4,GOE_+5
Rocker Foxtrot (w/ KP),RF2Sq1,PATTERN DANCE,2nd Sequence 1,7.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Rocker Foxtrot (w/ KP),RF2Sq2,PATTERN DANCE,2nd Sequence 2,8.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Rocker Foxtrot (w/ KP),RF2Sq3,PATTERN DANCE,2nd Sequence 3,9.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Rocker Foxtrot (w/ KP),RF2Sq4,PATTERN DANCE,2nd Sequence 4,10.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Tea-Time Foxtrot (w/ KP),TTF1SqB,PATTERN DANCE,1st Sequence B,5.00,-3.75,-3.00,-2.25,-1.50,-0.75,0.75,1.50,2.25,3.00,3.75
Tea-Time Foxtrot (w/ KP),TTF1Sq1,PATTERN DANCE,1st Sequence 1,7.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Tea-Time Foxtrot (w/ KP),TTF1Sq2,PATTERN DANCE,1st Sequence 2,8.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Tea-Time Foxtrot (w/ KP),TTF1Sq3,PATTERN DANCE,1st Sequence 3,9.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Tea-Time Foxtrot (w/ KP),TTF1Sq4,PATTERN DANCE,1st Sequence 4,10.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Tea-Time Foxtrot (w/ KP),TTF2SqB,PATTERN DANCE,2nd Sequence B,5.00,-3.75,-3.00,-2.25,-1.50,-0.75,0.75,1.50,2.25,3.00,3.75
Tea-Time Foxtrot (w/ KP),TTF2Sq1,PATTERN DANCE,2nd Sequence 1,7.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Tea-Time Foxtrot (w/ KP),TTF2Sq2,PATTERN DANCE,2nd Sequence 2,8.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Tea-Time Foxtrot (w/ KP),TTF2Sq3,PATTERN DANCE,2nd Sequence 3,9.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Tea-Time Foxtrot (w/ KP),TTF2Sq4,PATTERN DANCE,2nd Sequence 4,10.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
European Waltz (w/ KP),EW1SqB,PATTERN DANCE,1st Sequence B,5.00,-3.75,-3.00,-2.25,-1.50,-0.75,0.75,1.50,2.25,3.00,3.75
European Waltz (w/ KP),EW1Sq1,PATTERN DANCE,1st Sequence 1,7.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
European Waltz (w/ KP),EW1Sq2,PATTERN DANCE,1st Sequence 2,8.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
European Waltz (w/ KP),EW1Sq3,PATTERN DANCE,1st Sequence 3,9.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
European Waltz (w/ KP),EW1Sq4,PATTERN DANCE,1st Sequence 4,10.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
European Waltz (w/ KP),EW2SqB,PATTERN DANCE,2nd Sequence B,5.00,-3.75,-3.00,-2.25,-1.50,-0.75,0.75,1.50,2.25,3.00,3.75
European Waltz (w/ KP),EW2Sq1,PATTERN DANCE,2nd Sequence 1,7.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
European Waltz (w/ KP),EW2Sq2,PATTERN DANCE,2nd Sequence 2,8.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
European Waltz (w/ KP),EW2Sq3,PATTERN DANCE,2nd Sequence 3,9.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
European Waltz (w/ KP),EW2Sq4,PATTERN DANCE,2nd Sequence 4,10.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
American Waltz (w/ KP),AW1SqB,PATTERN DANCE,1st Sequence B,5.00,-3.75,-3.00,-2.25,-1.50,-0.75,0.75,1.50,2.25,3.00,3.75
American Waltz (w/ KP),AW1Sq1,PATTERN DANCE,1st Sequence 1,7.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
American Waltz (w/ KP),AW1Sq2,PATTERN DANCE,1st Sequence 2,8.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
American Waltz (w/ KP),AW1Sq3,PATTERN DANCE,1st Sequence 3,9.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
American Waltz (w/ KP),AW1Sq4,PATTERN DANCE,1st Sequence 4,10.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
American Waltz (w/ KP),AW2SqB,PATTERN DANCE,2nd Sequence B,5.00,-3.75,-3.00,-2.25,-1.50,-0.75,0.75,1.50,2.25,3.00,3.75
American Waltz (w/ KP),AW2Sq1,PATTERN DANCE,2nd Sequence 1,7.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
American Waltz (w/ KP),AW2Sq2,PATTERN DANCE,2nd Sequence 2,8.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
American Waltz (w/ KP),AW2Sq3,PATTERN DANCE,2nd Sequence 3,9.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
American Waltz (w/ KP),AW2Sq4,PATTERN DANCE,2nd Sequence 4,10.00,-5.25,-4.20,-3.15,-2.10,-1.05,1.05,2.10,3.15,4.20,5.25
Westminster Waltz (w/ KP),WW1Sq1SeB,PATTERN DANCE,1st Sequence 1st Section B,2.50,-1.88,-1.50,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.50,1.88
Westminster Waltz (w/ KP),WW1Sq1Se1,PATTERN DANCE,1st Sequence 1st Section 1,3.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Westminster Waltz (w/ KP),WW1Sq1Se2,PATTERN DANCE,1st Sequence 1st Section 2,4.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Westminster Waltz (w/ KP),WW1Sq1Se3,PATTERN DANCE,1st Sequence 1st Section 3,4.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Westminster Waltz (w/ KP),WW1Sq1Se4,PATTERN DANCE,1st Sequence 1st Section 4,5.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Westminster Waltz (w/ KP),WW1Sq2SeB,PATTERN DANCE,1st Sequence 2nd Section B,2.50,-1.88,-1.50,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.50,1.88
Westminster Waltz (w/ KP),WW1Sq2Se1,PATTERN DANCE,1st Sequence 2nd Section 1,3.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Westminster Waltz (w/ KP),WW1Sq2Se2,PATTERN DANCE,1st Sequence 2nd Section 2,4.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Westminster Waltz (w/ KP),WW1Sq2Se3,PATTERN DANCE,1st Sequence 2nd Section 3,4.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Westminster Waltz (w/ KP),WW1Sq2Se4,PATTERN DANCE,1st Sequence 2nd Section 4,5.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Westminster Waltz (w/ KP),WW2Sq1SeB,PATTERN DANCE,2nd Sequence 1st Section B,2.50,-1.88,-1.50,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.50,1.88
Westminster Waltz (w/ KP),WW2Sq1Se1,PATTERN DANCE,2nd Sequence 1st Section 1,3.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Westminster Waltz (w/ KP),WW2Sq1Se2,PATTERN DANCE,2nd Sequence 1st Section 2,4.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Westminster Waltz (w/ KP),WW2Sq1Se3,PATTERN DANCE,2nd Sequence 1st Section 3,4.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Westminster Waltz (w/ KP),WW2Sq1Se4,PATTERN DANCE,2nd Sequence 1st Section 4,5.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Westminster Waltz (w/ KP),WW2Sq2SeB,PATTERN DANCE,2nd Sequence 2nd Section B,2.50,-1.88,-1.50,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.50,1.88
Westminster Waltz (w/ KP),WW2Sq2Se1,PATTERN DANCE,2nd Sequence 2nd Section 1,3.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Westminster Waltz (w/ KP),WW2Sq2Se2,PATTERN DANCE,2nd Sequence 2nd Section 2,4.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
